group,class,ave_giovsaled,ave_perseng,ave_voexpg,ave_expinten,ave_fa,ave_cwp
13xx,c0,42936.51540761929,168.14432453517097,1290.2857885840592,0.009454204960107914,13554.946690937459,7.22334333084179
13xx,c1,43383.108813928186,231.38411316648532,35969.31229597388,0.8647944561588684,13871.844396082699,8.881531356525569
14xx,c0,32669.183574879225,232.69565217391303,26436.502415458937,0.866915988985508,20574.908212560385,9.759320800238328
14xx,c1,39502.160620245755,211.4447045055588,767.8376243417204,0.011947721921372449,17843.706553540083,8.16042271704041
15xx,c0,60264.576908469426,300.64868970755793,702.6015951386252,0.005491705616950246,39592.90619065704,10.934229285298324
15xx,c1,36440.586776859505,144.3801652892562,27569.330578512396,0.7925278442975205,19433.9173553719,10.012792207444898
16xx,c0,57876.5,338.25,26490.25,0.423379465,78781.75,21.853410193738746
16xx,c1,397741.0338983051,660.2415254237288,3661.3050847457625,0.0020600719167415257,183995.7754237288,14.823755399711036
17xx,c0,42599.30146620575,385.4329479079747,3501.166408391942,0.03387474444278816,20796.748241745143,7.807233222431177
17xx,c1,56451.32946298984,421.95936139332366,43973.36502177068,0.8293434488316405,23483.080551523948,9.597312955863748
18xx,c0,32686.4481298518,335.33309809456597,29593.543166313808,0.932271449910609,7047.970830392849,9.745122165202474
18xx,c1,31024.712756725483,250.88400347121782,2178.846109343361,0.037274246337457344,7622.833381544692,9.413564168592536
19xx,c0,53313.76918465228,522.4646282973621,49529.28357314149,0.9351484321882493,9778.01139088729,9.34260573815677
19xx,c1,37003.08618581907,220.00488997555013,2911.911369193154,0.04386467134050733,7349.960880195599,7.944372143018815
20xx,c0,25123.747727272726,183.2068181818182,22145.77727272727,0.8948067765227276,8155.320454545455,8.79767435298708
20xx,c1,28042.209692898272,192.7907869481766,478.7380038387716,0.01183525530631478,14236.802783109404,7.100281814901696
21xx,c0,42960.93593314763,296.7298050139276,39440.74094707521,0.9266849987186632,12915.011142061281,10.681086635187633
21xx,c1,22232.860017497813,158.31321084864393,861.0586176727909,0.021120638056080485,7569.118110236221,8.997780439887928
22xx,c0,36411.958093483765,227.2740041446005,964.3382454524523,0.009042523779886711,26477.72046972139,25.597635742424337
22xx,c1,43970.556420233464,250.70817120622567,32357.677042801555,0.8566745793774322,29026.486381322957,11.625089122121622
23xx,c0,18642.889380530974,135.19026548672565,257.12797821647376,0.004569613712902652,11776.010551395508,9.992819383735322
23xx,c1,51763.018867924526,397.2641509433962,47950.00943396227,0.8780370708490568,79088.96226415095,13.460379982528137
24xx,c0,38399.01850220264,435.50748898678415,35815.10572687224,0.936447524035242,9703.511894273128,9.864176425878137
24xx,c1,27044.53133159269,197.0953002610966,2523.8994778067886,0.05548170671044389,6931.977806788512,9.368360851157636
25xx,c0,444745.1876379691,586.3741721854304,14752.443708609271,0.005006142236026491,224185.10927152316,10.88904245051094
25xx,c1,108237.33333333333,660.6,81048.93333333333,0.7491199340000001,101077.46666666666,13.41463068472689
26xx,c0,52344.93570379694,261.8087895951332,1804.9054961191525,0.015355047737010998,37438.2177470107,10.047710562126047
26xx,c1,59546.39822134387,219.62845849802372,38859.99407114625,0.7155387016699611,29715.350790513832,13.264029454817203
27xx,c0,55563.547940797944,288.85907335907336,5197.131595881596,0.06997421199547747,28830.473294723295,10.738900024931118
27xx,c1,685.0,13.0,0.0,0.0,43300.0,901.5384615384615
28xx,c0,42285.0824742268,228.2680412371134,32253.22680412371,0.8279669455670102,21329.329896907217,10.316948033621692
28xx,c1,127612.76536312849,503.9622905027933,5318.9511173184355,0.019845896558072625,108465.68994413408,9.45967570651794
29xx,c0,46578.59810357403,319.3822027716995,4881.530999270605,0.02582106652742523,22871.24142961342,8.143694197895398
29xx,c1,48509.412,368.008,39788.956,0.8774841445999997,28988.772,10.964726394332617
30xx,c0,29330.964678633467,152.54448948079522,1011.9432541980312,0.01725443231927506,13458.637521713956,9.53605985277868
30xx,c1,39534.10056315366,269.7755430410298,35602.25181013677,0.9051910204344326,14798.612228479486,11.397359585970714
31xx,c0,27749.197365466658,273.8845894768356,2742.5084948731383,0.0659842481902896,21067.809445400795,8.471230936448833
31xx,c1,1600.0,180.0,0.0,0.0,46661.0,0.6111111111111112
32xx,c0,155293.50647482014,644.7859712230215,4972.071223021583,0.006408285034478414,122846.56402877698,9.151580249708388
32xx,c1,81624.63157894737,403.0315789473684,56136.61052631579,0.803546186,39849.2,9.23817118018158
33xx,c0,98533.19839449541,420.286123853211,3560.7161697247707,0.011109265007543001,63751.80504587156,9.298674932543664
33xx,c1,144969.72043010753,531.4731182795699,86640.7311827957,0.7458000015053763,73004.5376344086,11.47491425440622
34xx,c0,28781.407294391167,162.12598081952922,1011.6569311246731,0.020167873751894785,10213.06088346411,10.437961232132388
34xx,c1,39944.85202583676,247.8919553728714,35534.11626541398,0.8901774839224899,12000.662947739283,11.390020190048244
35xx,c0,31947.694543225014,257.0199877375843,1420.2468424279582,0.01860433988370128,14419.956713672593,9.786168516624503
35xx,c1,45181.732954545456,259.094696969697,35801.00284090909,0.8044108838825761,18696.02556818182,11.500018993253775
36xx,c0,35731.58041697692,286.06962025316454,1330.0154504839911,0.01564403048917164,15288.48417721519,10.077162344373571
36xx,c1,52336.4608433735,270.42469879518075,41566.40060240964,0.7895357057530116,16750.972891566264,13.556297612635303
37xx,c0,87497.53009742519,345.38048016701464,1996.009568545581,0.01329246322603729,35862.43475991649,10.318347585128343
37xx,c1,99565.20484581498,386.16299559471366,79101.63436123347,0.8076883817180625,45452.662995594714,12.547697755978296
40xx,c0,63780.83041806227,259.3990819997519,13397.83835752388,0.15966853630774522,18711.544473390397,11.017613933538248
40xx,c1,3964.0,284.0,0.0,0.0,12714.0,6.78169014084507
41xx,c0,226015.2375081116,615.3361453601558,193880.75535366646,0.8917554695133034,53082.01232965607,13.425792294846435
41xx,c1,173764.296532201,321.9794762915782,23289.595895258317,0.0429530307404646,40970.83439490446,16.150268387974677
42xx,c0,31074.20042492918,247.0169971671388,2175.5028328611897,0.029118812460354127,13632.906515580737,13.26628904615801
42xx,c1,120601.83246073299,421.5445026178011,111239.19371727749,0.8961411878272254,22295.976439790575,14.76186943008329
43xx,c0,25819.72627235213,289.9747822099954,23771.511691884458,0.9433274961898216,5689.0499770747365,9.030899403472759
43xx,c1,25935.57596371882,195.96825396825398,1444.9943310657595,0.04260937553244895,6909.643424036281,9.258888455213626
